PA_ID,PA_DC,PA_CPX,PA_CTF,PA_TOTAL,PA_IDADEMX,PA_IDADEMN,PA_SEXO
010101001,ATIVIDADE EDUCATIVA / ORIENTACAO EM GRUPO NA ATENCAO PRIMARI,1,01,0.0,999.0,999.0,A
010101002,ATIVIDADE EDUCATIVA / ORIENTACAO EM GRUPO NA ATENCAO ESPECIA,2,06,2.7,130.0,7.0,A
010101003,PRATICA CORPORAL / ATIVIDADE FiSICA EM GRUPO,1,01,0.0,130.0,6.0,A
010101011,ATIVIDADE DE EDUCACAO PERMANENTE EM SAUDE DO TRABALHADOR,2,05,0.0,999.0,999.0,A
010102001,ACAO COLETIVA DE APLICACAO TOPICA DE FLUOR GEL,1,01,0.0,130.0,4.0,A
010102002,ACAO COLETIVA DE BOCHECHO FLUORADO,1,01,0.0,130.0,7.0,A
010102003,ACAO COLETIVA DE ESCOVACAO DENTAL SUPERVISIONADA,1,01,0.0,130.0,3.0,A
010102004,ACAO COLETIVA DE EXAME BUCAL COM FINALIDADE EPIDEMIOLOGICA,1,01,0.0,130.0,0.0,A
010102005,APLICACAO DE CARIOSTATICO (POR DENTE),1,01,0.0,130.0,0.0,A
010102006,APLICACAO DE SELANTE (POR DENTE),1,01,0.0,130.0,0.0,A
010102007,APLICACAO TOPICA DE FLUOR (INDIVIDUAL POR SESSAO),1,01,0.0,130.0,0.0,A
010102008,EVIDENCIACAO DE PLACA BACTERIANA,1,01,0.0,130.0,0.0,A
010102009,SELAMENTO PROVISORIO DE CAVIDADE DENTARIA,1,01,0.0,130.0,0.0,A
010102010,ORIENTACAO DE HIGIENE BUCAL,1,01,0.0,130.0,0.0,A
010102011,ACAO COLETIVA DE PREVENCAO DE CANCER BUCAL,1,01,0.0,130.0,10.0,A
010102012,ORIENTACAO DE HIGIENIZACAO DE PROTESES DENTARIAS,1,01,0.0,130.0,10.0,A
010103001,VISITA DOMICILIAR POR PROFISSIONAL DE NiVEL MEDIO,1,01,0.0,130.0,0.0,A
010103002,VISITA DOMICILIAR/INSTITUCIONAL POR PROFISSIONAL DE NiVEL SU,1,01,0.0,130.0,0.0,A
010104002,AVALIACAO ANTROPOMETRICA,1,01,0.0,130.0,0.0,A
010104003,COLETA EXTERNA DE LEITE MATERNO (POR DOADORA),2,06,3.0,49.0,12.0,A
010104004,PASTEURIZACAO DO LEITE HUMANO (CADA 5 LITROS),2,06,11.06,999.0,999.0,A
010104005,ADMINISTRACAO DE VITAMINA A,1,01,0.0,49.0,0.0,A
010105001,PRATICAS CORPORAIS EM MEDICINA TRADICIONAL CHINESA,1,01,0.0,130.0,0.0,A
010105002,TERAPIA COMUNITARIA,1,01,0.0,130.0,0.0,A
010105004,YOGA,1,01,0.0,130.0,0.0,A
010105005,OFICINA DE MASSAGEM/ AUTO-MASSAGEM,1,01,0.0,130.0,0.0,A
010105006,SESSAO DE ARTETERAPIA,1,01,0.0,130.0,0.0,A
010105007,SESSAO DE MEDITACAO,1,01,0.0,130.0,0.0,A
010105008,SESSAO DE MUSICOTERAPIA,1,01,0.0,130.0,0.0,A
010105009,SESSAO DE ANTROPOSOFIA APLICADA A SAUDE,1,01,0.0,130.0,0.0,A
010105010,SESSAO DE BIODANCA,1,01,0.0,130.0,0.0,A
010105011,SESSAO DE BIOENERGETICA,1,01,0.0,130.0,0.0,A
010105012,SESSAO DE CONSTELACAO FAMILIAR,1,01,0.0,130.0,0.0,A
